Annee,cloud_cover,part_clair,h_nuit_astro,part_nuit,h_obs,observabilite
2000,0.8084,0.1916,2019.1,0.2299,293.2,0.0334
2001,0.7891,0.2109,2006.0,0.229,333.1,0.038
2002,0.8213,0.1787,2006.0,0.229,310.5,0.0354
2003,0.8064,0.1936,2006.0,0.229,321.9,0.0367
2004,0.8378,0.1622,2019.1,0.2299,289.7,0.033
2005,0.8306,0.1694,2006.0,0.229,283.5,0.0324
2006,0.7975,0.2025,2006.0,0.229,322.1,0.0368
2007,0.8147,0.1853,2006.0,0.229,321.2,0.0367
2008,0.8304,0.1696,2019.1,0.2299,282.2,0.0321
2009,0.8172,0.1828,2006.0,0.229,296.3,0.0338
2010,0.7965,0.2035,2006.0,0.229,306.4,0.035
2011,0.8232,0.1768,2006.0,0.229,258.7,0.0295
2012,0.8361,0.1639,2019.1,0.2299,267.6,0.0305
2013,0.8071,0.1929,2006.0,0.229,269.8,0.0308
2014,0.8111,0.1889,2006.0,0.229,293.6,0.0335
2015,0.8214,0.1786,2006.0,0.229,277.4,0.0317
2016,0.8032,0.1968,2019.1,0.2299,308.5,0.0351
2017,0.8005,0.1995,2006.0,0.229,299.0,0.0341
2018,0.8181,0.1819,2006.0,0.229,307.5,0.0351
2019,0.8143,0.1857,2006.0,0.229,312.8,0.0357
2020,0.7996,0.2004,2019.1,0.2299,287.5,0.0327
2021,0.8214,0.1786,2006.0,0.229,308.7,0.0352
2022,0.7912,0.2088,2006.0,0.229,277.4,0.0317
2023,0.7936,0.2064,2006.0,0.229,315.3,0.036
2024,0.7981,0.2019,2019.1,0.2299,319.6,0.0364
